gene	FPKM
Rp1	0
Xkr4	0.00795793
Sox17	0
Mrpl15	99.5379
Oprk1	0
Npbwr1	0.00635555
Fam150a	0
St18	0.00665856
3110035E14Rik	0.0145253
Sntg1	0.106453
Adhfe1	2.41473
Rrs1	23.0292
Rgs20	0.365824
Atp6v1h	31.1622
Mybl1	2.52015
Mcmdc2	0.0820691
Pcmtd1	18.2647
Vcpip1	7.82615
Lypla1	37.0415
Gm37988	2.97486
Tcea1	64.2111
Ppp1r42	0.779598
Tcf24	15.2156
Sgk3	1.90428
Rb1cc1	28.6388
Cpa6	0.224593
A830018L16Rik	0.139431
Prex2	0.421698
Prdm14	0
Slco5a1	0.812191
Arfgef1	33.2814
Sulf1	11.5301
Xkr9	0.0128629
Lactb2	23.6643
Trpa1	0.447892
Msc	0.164997
Kcnb2	0.0972764
Tram1	47.2347
Sbspon	0.174226
4930444P10Rik	0.27739
Ncoa2	14.3293
Terf1	29.9706
Eya1	16.6561
Cops5	189.763
Cspp1	56.3533
Rdh10	16.7044
Ube2w	30.7929
Jph1	0.107445
Pi15	0.0825151
Defb18	0
Defb41	0
Crisp4	0
Gdap1	0.0259398
Crispld1	0.0725898
Ly96	11.0247
Tfap2d	0
Il17a	0
Tfap2b	0
Pkhd1	0.00522688
Il17f	0.248956
Tmem70	50.3727
Stau2	24.3554
Eloc	332.197
Efhc1	9.05894
Khdc1a	0
Khdc1c	0
Khdc1b	0
Paqr8	3.45634
Gsta3	0.0320227
Tmem14a	5.63215
4933415F23Rik	0
Tram2	6.24586
Rims1	0.0200721
Ogfrl1	7.70198
Kcnq5	2.8641
Sdhaf4	41.4882
Col9a1	0.0776376
Col19a1	0.0429558
Mcm3	78.9476
Gm597	0
4931408C20Rik	0.00538913
Adgrb3	0.285112
Lmbrd1	27.5835
B3gat2	0.158652
Smap1	65.0733
Rpl7	1064.95
Fam135a	13.74
Pih1d3	0
4931428L18Rik	0
Lgsn	0
Khdrbs2	3.26872
Gm5415	0.00651035
Prim2	25.2334
Ptp4a1	197.81
Bag2	44.7819
Rab23	22.765
Bend6	8.45026
Zfp451	14.8133
Phf3	36.9497
Ccdc115	12.3087
Amer3	0
Prss39	0
Cfc1	0
Prss40	0
Ptpn18	3.93012
Imp4	57.7233
Plekhb2	12.0589
Hs6st1	30.328
Neurl3	0.781036
Arid5a	8.80835
Arhgef4	4.725
Fam168b	84.3423
Cnnm4	3.55319
Cnnm3	12.3189
Ankrd23	3.27483
Gm42417	0.746974
Ankrd39	9.89239
Fer1l5	0.495661
Lman2l	23.3285
Fam178b	1.95191
Kansl3	31.8875
Uggt1	39.45
Sema4c	28.579
Zap70	0.0391006
Cox5b	750.153
Dst	36.1256
Cnga3	0
Vwa3b	0.0844508
Actr1b	84.8003
4933424G06Rik	0.0936364
Coa5	29.4674
2010300C02Rik	0.804846
Inpp4a	4.27439
Tmem131	20.2343
Tsga10	1.43115
Mgat4a	3.31969
Lyg2	0
Unc50	65.3621
Lyg1	0
Lipt1	6.74266
Mitd1	29.3226
Mrpl30	150.649
Txndc9	109.959
Nms	0
Lonrf2	0.0366103
Aff3	5.21735
Chst10	2.26242
Npas2	0.083099
Pdcl3	112.657
Eif5b	70.7122
Rev1	19.6652
Gm3646	0
Creg2	0.0075337
Rfx8	0.184187
Cnot11	30.2696
Rnf149	42.9063
Il1r2	0.364211
Slc9a4	0
Il1rl2	0.0254092
Il18r1	0.015266
Slc9a2	0.15657
Tmem182	0.0529328
Pou3f3	0.00307806
Il18rap	0.753491
Il1rl1	0.762133
Mfsd9	4.127
Il1r1	7.81901
Gpr45	0.074496
AI597479	13.168
Tgfbrap1	5.78426
Mrps9	45.9781
Fhl2	47.9733
1500015O10Rik	0.348232
Rpl31	1763.5
Tbc1d8	1.20071
Nck2	60.0335
Gm8251	0.0191794
Uxs1	43.0525
Mettl21c	0.115797
Mettl21e	0.00737123
Tex30	35.133
Bivm	16.7599
Ercc5	8.05748
Kdelc1	30.1039
Tpp2	28.4426
Gulp1	50.3171
Map4k4	134.033
Col5a2	3.66191
Gm5269	0
Dnah7c	0.00554383
Dnah7b	0.652962
Tmeff2	7.814
Slc39a10	13.1395
Wdr75	48.324
Sdpr	16.2325
Slc40a1	64.519
Nabp1	27.5051
Stat4	0.171415
Stat1	19.6316
Mfsd6	1.58315
1700019A02Rik	0
Mstn	0.029452
1700019D03Rik	0.15179
Myo1b	45.7754
Inpp1	12.4211
Nemp2	6.29909
Pms1	5.17345
Hibch	15.8017
Nab1	35.6994
Dnah7a	0.501554
Ccdc150	0.626681
Stk17b	10.0364
Hecw2	1.81439
Pgap1	2.07371
Gls	94.4263
Gtf3c3	15.25
Ormdl1	13.6309
Gm28778	0.116303
Osgepl1	4.89117
Gm28551	0.350903
Asnsd1	37.6373
Ankrd44	26.4895
Coq10b	11.1477
Sf3b1	70.9357
Rftn2	3.18168
Mars2	1.66403
Hsfy2	0
Boll	0.00911575
Plcl1	3.87233
1700066M21Rik	5.44991
Satb2	2.92114
Mob4	43.4306
Spats2l	4.71841
Tyw5	27.0932
Maip1	10.847
Aox2	0.0119498
Aox4	0.158212
Aox3	1.97305
Aox1	10.9595
Kctd18	13.7895
Sgol2a	12.7406
Hspd1	271.976
Hspe1	349.577
Als2cr12	0.561445
Fam126b	1.52109
Ndufb3	68.2386
Clk1	43.1364
Als2cr11	0
Casp8	14.6001
Cflar	18.2837
Stradb	11.8631
Trak2	11.2978
Cdk15	0.647588
Tmem237	33.3894
Bzw1	165.925
Fzd7	20.476
Mpp4	0.192749
Als2	10.5072
Ppil3	57.6084
Orc2	23.3042
Nif3l1	39.307
Gm973	0.0898847
Sumo1	134.82
Bmpr2	8.57368
Fam117b	13.4469
Ica1l	14.4383
Nbeal1	2.29064
Ctla4	0
Icos	0
Cd28	0.0214057
Cyp20a1	26.8476
Pard3b	1.82425
Wdr12	25.2752
Carf	4.5402
Raph1	8.3911
Abi2	10.0023
Nop58	281.725
Ino80d	3.35548
Nrp2	30.0428
Col3a1	1897.18
Gpr1	0.0127593
Zdbf2	0.206726
Dytn	0
Mdh1b	0.0584684
4933402D24Rik	0.114007
Klf7	3.64855
Adam23	6.55323
Fastkd2	34.24
Mettl21a	15.5646
Fzd5	0.887607
Crygb	0
Crygd	0
Crygc	0
Cryge	0.929115
Akr1cl	0.286058
Cryga	1.98682e-06
Gm28845	0.0816983
D630023F18Rik	0.990568
Creb1	11.3414
Ccnyl1	22.3491
Plekhm3	3.37006
Crygf	0
Pth2r	0.0701869
Pikfyve	4.52956
Unc80	0.0725845
Idh1	122.462
Myl1	1.4009
Rpe	22.2641
Kansl1l	9.66377
Cps1	0.0207199
Erbb4	0.0820441
Vwc2l	0
Spag16	0.0198219
Abca12	0.00496565
Acadl	86.1194
Bard1	3.40241
Ikzf2	1.91506
Lancl1	70.2737
Atic	72.5605
Ndufs1	60.1155
Eef1b2	1370.53
Map2	51.6938
Mreg	0.372818
Tmem169	0.468295
Pecr	13.8487
March4	0.265102
Xrcc5	17.9557
Ankar	0
Smarcal1	14.0626
Tnp1	0
Igfbp2	0.505473
Igfbp5	1.65084
Cxcr1	0
Cxcr2	0.116982
Rufy4	0.403064
Rpl37a	1148.72
Gpbar1	0.101559
Arpc2	246.19
Tns1	21.1889
Catip	0.151928
Slc11a1	0.738293
Aamp	214.807
Ctdsp1	111.024
Pnkd	84.5681
Tmbim1	49.4176
Bcs1l	17.3925
Prkag3	0.134935
Cyp27a1	2.24962
Fev	0
Cryba2	0
Cdk5r2	0.0597819
Cfap65	0
Wnt6	7.50716
Wnt10a	3.00228
Ihh	0.127235
Nhej1	0
Slc23a3	0.0747237
Nhej1	6.58954
Stk36	7.17289
Rnf25	67.0047
Ttll4	26.5089
Cnppd1	38.5441
Vil1	0.319172
Cnot9	46.5985
Usp37	9.21379
Plcd4	0.0944316
Zfp142	8.34683
Abcb6	13.7867
Zfand2b	22.7932
Fam134a	58.3172
A630095N17Rik	0
Resp18	0
Ptprn	4.23202
Dnajb2	21.5553
Des	3.73301
Atg9a	18.076
Glb1l	13.8362
Ankzf1	7.80501
Asic4	0.177835
Inha	2.90864
Speg	68.5825
Gmppa	85.0983
Chpf	48.0299
Dnpep	107.925
Epha4	1.18527
Pax3	9.26828
Stk11ip	11.669
Slc4a3	14.8676
BC035947	0.0237469
Mogat1	0.353689
Obsl1	49.3972
Tmem198	0.988981
Kcne4	0.0194709
Scg2	0.104858
Ap1s3	3.34349
Sgpp2	0.140092
Farsb	64.1411
Fam124b	0
Stk16	84.0783
Tuba4a	45.2475
Serpine2	66.0606
Gm45261	0
Wdfy1	13.8962
Mrpl44	26.405
Acsl3	84.5057
Utp14b	4.64758
Nyap2	0.00303926
Col4a4	0.181397
Dock10	0.630155
Col4a3	0.159437
Rhbdd1	9.92339
Irs1	4.25223
Gm9747	13.4345
Cul3	115.479
Tm4sf20	0
AC125444.5	0
AC125444.2	0
AC125444.1	0
AC125444.6	0
AC125444.4	0
AC125444.3	0.330141
AC161180.1	0
Krtap28-10	0
Slc19a3	0.739243
Krtap28-13	0
AC161180.2	0.0272618
A030005K14Rik	0.0248774
Ccl20	1.58463
Daw1	0.0617311
Sphkap	0.11404
Dner	3.25046
Pid1	8.48261
Mff	125.769
Agfg1	56.4459
Slc16a14	0.126474
A630001G21Rik	0.437889
Sp140	3.58458
G530012D18Rik	0
Sp110	0.128955
C130026I21Rik	0.275919
A530032D15Rik	2.75526
Gm10553	0
Sp100	0.74123
Cab39	32.5156
2810459M11Rik	0.0850634
4933407L21Rik	0.0469637
Gpr55	0
Spata3	0.0560516
B3gnt7	0.816772
Itm2c	156.687
Psmd1	85.9854
Gm21972	6.49346e-10
Armc9	11.8054
Htr2b	0.0707383
Tex44	0
Nmur1	0
Trip12	125.888
Fbxo36	12.84
Ncl	339.56
Nppc	0.131932
Alpi	0
Alppl2	0
Akp3	0
Chrnd	0
Prss56	0.0224236
