gene	chr	coord	expression_breadth
ENSMUSG00000092123	chr2	155720000	0
ENSMUSG00000096734	chr9	124480000	0
ENSMUSG00000069475	chr19	61180000	0
ENSMUSG00000066810	chr9	25080000	0
ENSMUSG00000067122	chr13	111580000	0
ENSMUSG00000079438	chr5	88140000	0
ENSMUSG00000078269	chr11	99720000	0
ENSMUSG00000079740	chr16	10800000	0
ENSMUSG00000091195	chr11	31180000	0
ENSMUSG00000079433	chr9	85300000	0
ENSMUSG00000090889	chr14	54960000	2
ENSMUSG00000068181	chr6	95320000	0
ENSMUSG00000091619	chr12	4580000	20
ENSMUSG00000091096	chr5	106600000	0
ENSMUSG00000094462	chr7	42560000	6
ENSMUSG00000071952	chr7	43080000	1
ENSMUSG00000095261	chr12	22620000	18
ENSMUSG00000079016	chr8	72200000	0
ENSMUSG00000073291	chrX	7900000	0
ENSMUSG00000078276	chr11	99680000	0
ENSMUSG00000078270	chr11	99720000	0
ENSMUSG00000068068	chr16	89160000	1
ENSMUSG00000079333	chr17	81440000	0
ENSMUSG00000071586	chr15	102500000	30
ENSMUSG00000048643	chr16	88920000	0
ENSMUSG00000095993	chr19	61280000	2
ENSMUSG00000078263	chr11	99760000	0
ENSMUSG00000046088	chr17	22680000	4
ENSMUSG00000063905	chr13	65500000	2
ENSMUSG00000090853	chr13	41260000	0
ENSMUSG00000094249	chr10	96400000	1
ENSMUSG00000078742	chr3	53840000	0
ENSMUSG00000090485	chr2	152560000	8
ENSMUSG00000067085	chr19	53360000	23
ENSMUSG00000064356	chrMT	0	1
ENSMUSG00000074846	chr2	126700000	0
ENSMUSG00000096173	chr15	72900000	20
ENSMUSG00000078953	chr8	104320000	3
ENSMUSG00000078141	chr13	12700000	22
ENSMUSG00000078984	chr12	116260000	22
ENSMUSG00000045566	chr3	92500000	5
ENSMUSG00000060411	chr6	34720000	0
ENSMUSG00000079064	chr13	22980000	0
ENSMUSG00000094886	chr13	49940000	0
ENSMUSG00000059877	chr13	106540000	0
ENSMUSG00000067929	chr17	21680000	19
ENSMUSG00000091347	chr13	66220000	1
ENSMUSG00000095920	chr17	15560000	0
ENSMUSG00000051002	chr13	113100000	0
ENSMUSG00000073448	chr17	21680000	20
ENSMUSG00000091775	chr17	47000000	6
ENSMUSG00000066378	chr7	81840000	3
ENSMUSG00000090682	chr1	46000000	20
ENSMUSG00000090737	chr19	28760000	4
ENSMUSG00000094790	chr8	89140000	1
ENSMUSG00000079544	chr6	68900000	0
ENSMUSG00000073371	chr17	82520000	12
ENSMUSG00000044330	chr3	85900000	23
ENSMUSG00000034339	chr18	42160000	2
ENSMUSG00000067736	chr1	24600000	23
ENSMUSG00000065947	chrMT	0	23
ENSMUSG00000063628	chr18	16260000	20
ENSMUSG00000053121	chr5	29720000	30
ENSMUSG00000066407	chr13	73300000	23
ENSMUSG00000078132	chr11	99540000	1
ENSMUSG00000096557	chr7	128580000	12
ENSMUSG00000091800	chr6	68160000	4
ENSMUSG00000043982	chr16	88880000	9
ENSMUSG00000061619	chr4	52480000	14
ENSMUSG00000054116	chr5	25220000	32
ENSMUSG00000021631	chr17	53860000	23
ENSMUSG00000066457	chr12	73960000	1
ENSMUSG00000054745	chr18	24700000	12
ENSMUSG00000095366	chrY	90740000	21
ENSMUSG00000095213	chr4	144440000	1
ENSMUSG00000075480	chr11	106160000	15
ENSMUSG00000096850	chrY	90820000	22
ENSMUSG00000067719	chr5	24580000	23
ENSMUSG00000064317	chr10	78380000	23
ENSMUSG00000095331	chr7	24060000	2
ENSMUSG00000064288	chr13	21740000	23
ENSMUSG00000072460	chr7	62460000	23
ENSMUSG00000096486	chr10	96120000	2
ENSMUSG00000066478	chr9	73160000	13
ENSMUSG00000064081	chr15	99000000	18
ENSMUSG00000095638	chr15	96760000	1
ENSMUSG00000066629	chr12	12900000	23
ENSMUSG00000066771	chr9	35280000	22
ENSMUSG00000096097	chrX	11300000	7
ENSMUSG00000094904	chrX	11300000	5
ENSMUSG00000095655	chrX	11300000	7
ENSMUSG00000095445	chrX	11320000	8
ENSMUSG00000068631	chr8	13880000	19
