chr	coord	esc_max_exp	npc_max_exp
chr15	99320000	3.46645	7.70372
chrX	59720000	0.00000	0.00000
chr1	42280000	0.00000	0.00000
chr3	135560000	8.73071	7.03022
chr6	31320000	0.00000	0.00000
chr9	106600000	0.01675	0.00000
chr11	115640000	36.44721	0.00000
chr7	97440000	76.99454	13.41546
chr5	64240000	0.34725	0.35661
chr7	105760000	15.85149	10.49874
chr16	34720000	8.63675	5.92084
chr5	135680000	4.97514	0.00000
chr7	125240000	0.00000	0.00000
chr3	67520000	0.32424	0.01197
chr7	15520000	0.07881	0.00000
chr16	4360000	22.52957	32.26148
chr3	81040000	2.83376	1.66080
chr3	59120000	0.00000	0.00000
chr15	17600000	0.00000	0.00000
chr4	136840000	0.77038	5.81249
chr10	69160000	0.23368	0.00000
chrX	136720000	0.80633	0.00000
chr14	75160000	0.10613	0.00000
chr5	134680000	0.03254	0.40070
chr2	92880000	0.00000	0.00000
chr7	141040000	148.76965	0.44062
chrY	37600000	0.00000	0.00000
chr2	153000000	0.46550	0.00000
chr1	166080000	0.00000	0.17974
chr3	157600000	0.05254	0.01673
chr1	90880000	0.06246	0.00000
chr2	28640000	0.04083	0.00000
chr6	149400000	7.03971	2.60393
chr4	135320000	0.19662	0.25046
chr6	56920000	0.13898	0.16523
chr8	79560000	0.00000	0.01627
chr11	94880000	0.29339	0.00000
chr16	59200000	0.00000	0.00000
chr9	40200000	0.31316	0.00000
chr19	46080000	103.28883	22.30063
chr18	26960000	0.00000	0.00000
chr17	32960000	1.10503	0.34609
chr6	72720000	0.11152	0.00000
chr12	100560000	4.46208	7.08986
chr11	46280000	5.44800	5.61790
chr5	95000000	1.53304	0.00000
chr17	28960000	20.60689	0.04468
chr16	49080000	0.00000	0.00751
chrX	78800000	0.01684	0.01430
chr3	98520000	0.00000	0.00000
chr19	34400000	0.00000	0.00000
chr16	45120000	0.00902	0.04981
chr19	61240000	0.71725	0.74636
chr11	66600000	0.00000	0.00000
chr3	22080000	17.17456	2.07099
chr13	27320000	0.00000	0.00000
chr6	86640000	0.39845	0.06152
chrX	38640000	32.99416	9.78668
chr10	45840000	0.00000	0.00000
chr9	44600000	0.01984	0.00000
chr19	25200000	0.00000	0.00000
chr5	30200000	0.95789	1.22018
chr11	19640000	0.00000	0.06686
chr11	59360000	0.00000	0.16523
chr8	88640000	0.42985	0.16592
chr5	124720000	0.00000	0.00000
chr13	77720000	2.60268	8.08705
chr11	73120000	0.93782	0.07618
chr13	99520000	14.89013	0.22641
chr1	34840000	0.25648	0.76542
chr4	40480000	0.01182	0.00000
chr8	24720000	0.00000	0.00000
chr5	88120000	0.00000	0.00000
chr5	46520000	0.00000	0.00000
chr5	72320000	0.00000	0.00000
chr2	37480000	10.67783	4.24767
chr4	83080000	0.62786	0.00000
chr15	31480000	139.49274	70.26185
chr7	103120000	0.00000	0.00000
chr13	90160000	0.02281	0.00000
chrY	61760000	0.00000	0.00000
chr1	38080000	1.78528	6.22273
chr11	54360000	0.00000	0.05816
chr16	84840000	42.28105	0.00000
chr17	10360000	0.00000	0.46459
chr11	84560000	0.05352	0.59211
chr11	28960000	11.43948	12.20590
chr6	117760000	0.04658	0.05934
chrX	93960000	0.43105	0.00000
chrY	11200000	0.00000	0.00000
chr5	60200000	0.00000	0.00000
chr7	126760000	18.60977	11.82889
chr6	33720000	0.00000	0.00000
chr13	47120000	118.39214	61.63651
chr4	5640000	0.00000	0.00000
chr5	52920000	0.00000	0.00000
chrY	52680000	0.00000	0.00000
chrY	34440000	0.00000	0.00000
chr8	62160000	0.32439	0.00000
chr2	162880000	0.00000	0.00000
chrY	2680000	0.04374	0.01335
chr1	122240000	0.00000	0.00000
chr6	3320000	0.00000	0.00000
chrY	75120000	0.00000	0.00000
chr6	30680000	0.00000	0.00000
chr17	64560000	0.00000	0.00000
chr17	21200000	0.00000	0.01039
chr1	79800000	22.16694	0.00000
chr2	129520000	0.00000	0.00000
chr11	17040000	0.00000	0.00000
chr7	126800000	74.88878	3.69949
chrX	78200000	0.00000	0.00000
chr3	152720000	4.14692	5.08529
chr15	102480000	60.17223	0.16023
chr2	3400000	0.00000	0.00000
chr14	51840000	1.20404	0.00000
chr1	171280000	67.22127	3.27285
chr17	23280000	0.00000	0.00000
chr12	104960000	0.05819	0.14825
chr9	106280000	4.97092	0.68685
chr16	66920000	0.00000	0.00000
chr6	108520000	0.00000	0.52008
chr8	91200000	14.48360	0.00000
chr4	139640000	5.60328	8.88638
chrX	7520000	0.00000	0.00000
chr12	51840000	14.75440	22.16830
chr1	107200000	0.00000	0.00000
chr1	135120000	0.51035	0.36405
chr9	103440000	0.16321	0.00000
chr17	25760000	8.82600	0.00000
chr10	41840000	4.63869	3.46711
chr6	105080000	0.02954	0.05017
chr2	153280000	2.04465	2.61928
chr5	135640000	0.98675	0.17723
chr17	40120000	4.96527	6.62602
chr12	55040000	8.74846	10.17456
chr7	28880000	0.54404	0.08556
chr1	174040000	0.02236	0.00000
chr14	105840000	0.00000	0.00000
chr18	35800000	42.45810	0.00000
chrY	35680000	0.00000	0.00000
chr17	55720000	6.25120	5.28592
chr3	146880000	0.29602	0.55842
chr5	150600000	0.33685	0.00000
chr9	91280000	0.00000	0.27559
chr19	30560000	8.22227	4.35138
chr4	14200000	35.17189	34.53706
chr13	65040000	0.00551	0.00000
chr8	85120000	15.27282	0.00000
chr6	101200000	0.00000	0.09238
chr14	13320000	0.00669	0.04818
chr8	47040000	0.02002	0.00000
chr17	83280000	0.00000	0.00000
chr3	18320000	0.00387	0.00000
chr14	33960000	0.00745	0.00000
chr15	37360000	0.00000	0.00000
chr6	29160000	0.74122	0.00000
chr6	128440000	240.03833	178.18555
chr6	77400000	0.00000	0.37493
chr13	100640000	2.33486	0.76261
chr1	10480000	0.00000	0.00578
chr8	24760000	0.00636	0.00000
chr1	118480000	0.78839	0.00000
chr4	50080000	1.24526	1.66634
chr2	28920000	0.00000	0.08937
chr9	7360000	0.00000	0.00219
chr7	103480000	0.00000	0.00000
chr6	116800000	0.00000	0.12792
chr1	155280000	0.09769	1.04565
chrY	54600000	0.00000	0.00000
chr1	187000000	4.71624	0.06307
chr16	56720000	22.21578	19.05967
chrY	53720000	0.00000	0.00000
chr6	119880000	2.83208	1.88055
chrX	117680000	0.00000	0.00000
chr9	117440000	0.00000	0.00000
chr6	92960000	0.99923	0.92762
chr2	89760000	0.00000	0.00000
chr17	89920000	332.36611	211.43733
chrX	151120000	9.44006	5.43195
chr12	80520000	0.34785	0.17878
chrX	21240000	0.06520	0.00000
chr14	33000000	0.03574	0.10116
chr4	12200000	4.93795	11.17779
chr9	58120000	0.01049	0.00000
chr9	25520000	0.57914	0.87553
chr6	112280000	0.20514	0.45845
chr13	24880000	0.05665	0.07216
chrY	29400000	0.00000	0.00000
chr5	107920000	544.59824	0.00000
chr1	33400000	0.00828	0.00000
chr9	66600000	2.00209	0.15475
chr9	21840000	0.00000	0.00000
chr2	91960000	35.11456	0.26004
chrY	12080000	0.00000	0.00000
chr1	191360000	1.87953	4.57648
chr9	72560000	2.80757	6.02462
chr5	87360000	0.00000	0.00000
chr8	15440000	2.20750	0.00000
chr9	104040000	1.69092	2.64969
chr1	34640000	0.00000	0.00000
chr4	155760000	0.23958	0.00000
chr12	69360000	30.44538	23.37355
chr5	81800000	0.05134	0.00000
chr17	56360000	3.23207	5.56072
chr7	108360000	0.00000	0.00000
chr2	176640000	32.62768	0.98117
chr3	7200000	0.04314	0.10990
chr1	93040000	0.00000	0.07461
chr5	44720000	0.00000	0.00465
chr14	5040000	5.20340	10.89967
chr11	52440000	1.48972	1.75166
chr6	19360000	0.00000	0.00000
chr15	100800000	0.76316	1.45698
chr8	36440000	0.00000	0.00000
chr9	74600000	0.00000	0.00000
chr3	97440000	0.00000	0.00000
chr17	27160000	81.65583	125.95083
chr11	77120000	7.55103	16.92300
chrY	83720000	0.00000	0.00000
chr14	57360000	0.00000	0.00000
chr1	63720000	0.00304	0.00000
chr12	101680000	0.00000	0.00000
chr17	86320000	0.00000	0.00000
chr18	15800000	0.01932	0.03281
chrX	73800000	34.50160	0.09868
chrX	63040000	0.00000	0.00000
chr2	19960000	0.61579	0.17431
chr11	96840000	30.03516	19.90877
chr4	139360000	54.43409	5.84401
chr4	61280000	0.00000	0.00000
chr9	78520000	3865.45923	3550.97264
chr11	62760000	0.92090	0.00000
chr5	127240000	0.04612	0.00000
chr3	32840000	0.99306	0.72642
chr9	70160000	2.42960	0.00000
chr8	83720000	66.44310	23.11495
chr4	99120000	1.14307	1.50019
chr4	53760000	0.00000	0.00000
chr6	14480000	0.00000	0.00000
chr1	66040000	0.05478	0.00000
chr3	104000000	2.23050	0.30188
chr12	12960000	46.94112	18.85455
chr9	85120000	0.00000	0.00000
chr18	14680000	94727.42584	137478.35519
chr1	33080000	0.15298	0.15589
chr18	57160000	0.04356	6.25202
chrX	37000000	1.83159	5.52179
chr2	175320000	2.91611	1.53938
chr9	65600000	8.56469	7.23708
chr3	154600000	4.11870	1.60069
chr14	5000000	0.60320	1.25023
chr16	37040000	2.93153	2.99394
chr15	36600000	0.00000	0.00000
chr18	80280000	1.49125	0.01268
chr1	106960000	0.00748	0.00000
chr18	80080000	2.04439	10.90123
chrY	56760000	0.00000	0.00000
chrY	24400000	0.00000	0.00000
chrX	3840000	0.00000	0.00000
chr6	95360000	0.01628	0.00000
chr1	15040000	0.00000	0.00000
chr9	18880000	0.01934	0.00000
chr15	83760000	0.04476	3.19869
chrX	124160000	0.00000	0.00000
chr1	172800000	0.00000	0.00000
chr9	43920000	0.00000	0.00000
chr1	184920000	1.90174	0.53833
chr14	49920000	0.00000	0.00000
chr11	67240000	0.18319	0.00527
chrX	135000000	0.18184	0.09883
chr14	58680000	0.00000	0.00000
chr9	86760000	1.49691	0.09212
chr1	181960000	2.52199	0.99751
chr16	87480000	6.72549	1.99759
chr17	57000000	47.55603	5.11787
chr4	132920000	15.13995	0.61528
chrX	56480000	381.24737	0.31567
chr10	30640000	19.16186	6.05651
chr9	27160000	4.98789	20.05434
chr4	99400000	0.00000	0.00000
chr9	105240000	0.00000	0.00000
chr10	129280000	0.00000	0.00000
chr3	76840000	0.00000	0.00000
chr5	14680000	0.00000	0.01054
chr2	38240000	0.45558	0.38689
chr4	123680000	1.31284	1.19955
chrX	167920000	0.00000	0.00000
chr4	89280000	0.02807	0.00000
chr17	4680000	0.00000	0.00000
chr9	96200000	7.52134	9.02621
chr4	122840000	5.97378	8.47083
chr19	34200000	0.55885	0.00804
chr11	34840000	23.21901	12.38268
chr4	132360000	9038.01499	6332.53942
chr12	73600000	0.80188	0.45983
chr12	87880000	40.23464	0.03593
chr1	104800000	0.02328	0.23149
chr11	18760000	0.00000	0.00000
chr16	88520000	0.00000	0.00000
chr9	14880000	2.83674	1.59535
chr11	30720000	0.19924	0.00000
chr3	22120000	30.72101	44.42464
chr15	84160000	0.07719	0.00936
chr11	3160000	9.14275	1.43728
chr7	90440000	0.84289	0.25661
chr2	22760000	0.00000	0.00000
chr11	60800000	11.44826	7.32831
chr7	80720000	0.08723	0.57008
chr11	73920000	0.00000	0.00000
chr3	110640000	0.00000	0.00626
chr1	74920000	0.07226	0.00000
chr9	76800000	0.00000	0.00000
chr2	25480000	0.65699	0.00000
chr1	74200000	0.01253	0.00000
chr17	20760000	0.16369	0.00000
chrY	75160000	0.00000	0.00000
chr1	153120000	0.00000	0.00000
chr7	113680000	0.00000	0.00000
chr19	6280000	24.13379	0.36889
chrY	74320000	0.00000	0.00000
chr9	57960000	1.13343	0.90958
chr18	70600000	2.66758	5.31540
chr10	127880000	0.02953	0.00000
chr8	70440000	0.41761	0.40429
chrY	41280000	0.02805	0.00000
chr3	92720000	149.58374	146.43954
chr16	57240000	14.26516	9.40520
chrX	3080000	0.00000	0.00000
chr6	90000000	0.00000	0.00000
chr14	4720000	1.16229	4.16647
chr1	195360000	0.00000	0.02152
chr2	76360000	0.02511	0.01523
chr15	72760000	0.27879	0.00000
chr8	25800000	15.45541	7.74967
chr9	106480000	35.24730	0.97880
chr17	6680000	328.48863	373.57975
chr10	105520000	0.04827	0.59432
chr14	23120000	0.00000	0.00000
chrX	5160000	0.00000	0.00000
chr13	51040000	0.00000	0.00000
chr8	105520000	0.75275	1.87424
chr5	113080000	934.64180	0.00000
chr9	46240000	0.22669	0.06417
chr3	121040000	3.91550	1.79882
chr7	41280000	0.00000	0.00000
chr2	160400000	0.03888	0.46224
chr3	59680000	0.00000	0.00000
chr1	53920000	0.00000	0.00000
chrX	60600000	3.64534	0.64828
chr1	193320000	0.00726	0.00000
chr8	106320000	0.00927	0.03150
chr1	63760000	13.10669	6.08780
chr18	62200000	1.00237	1.90229
chrX	140960000	23.34539	21.46647
chr15	100680000	2.03769	0.00000
chr6	5520000	0.52137	0.21234
chr8	66400000	0.00000	0.00000
chr15	77560000	0.00000	0.00000
chr7	6040000	3.80263	3.37118
chr7	30720000	0.35749	0.03004
chr6	48720000	0.04067	0.00000
chr11	21720000	26.88359	8.93710
chr9	112520000	0.00000	0.00000
chr16	95280000	0.00556	0.01890
chr1	88040000	1.51841	0.00000
chr2	93600000	0.00000	0.00000
chr16	6000000	0.00000	0.00000
chr19	30720000	0.00000	0.00000
chr6	55160000	0.09135	0.00000
chr9	19960000	819.35984	475.95096
chr3	33920000	0.00000	0.00000
chr11	46760000	777.09095	592.68028
chr1	178640000	0.22370	0.56990
chr9	21600000	10.06419	8.72677
chr12	102440000	9.42386	10.24938
chrX	56760000	5.78874	1.94538
chr1	81080000	0.00000	0.01268
chr1	128920000	0.00000	0.00000
chr14	53560000	0.49391	0.04792
chr9	38480000	0.00000	0.00000
chr2	7560000	0.00000	0.00000
chr1	79480000	0.00743	4.44018
chr8	74880000	0.01042	0.00000
chr1	85800000	12.86167	0.00000
chr6	34040000	0.48798	0.29008
chr13	93760000	0.00000	0.00000
chr15	63880000	0.01614	0.00000
chr5	99760000	0.00178	0.01351
chr17	21040000	6.76006	6.51898
chr4	144520000	0.13609	0.08668
chr19	42200000	2.20949	2.80345
chr13	28720000	0.40170	1.87619
