genomic_coordinate	total_surface_accessibility_score
233200000	8
580800000	1
89700000	8
692400000	6
960600000	1
672400000	3
654300000	1
856100000	2
847000000	3
491500000	3
28800000	17
724300000	5
912200000	2
232300000	6
365300000	10
860400000	41
903100000	3
709100000	5
346000000	4
12000000	4
752100000	14
466800000	14
548600000	1
36300000	23
940500000	2
897200000	16
444200000	17
746500000	1
84200000	13
611600000	9
691600000	5
754400000	1
393900000	4
697400000	11
15200000	1
689900000	1
785700000	3
532800000	4
533400000	28
909900000	4
959200000	4
317600000	8
4800000	23
625500000	14
16600000	18
328200000	8
743100000	19
191400000	3
74200000	1
517800000	4
336800000	6
88200000	15
907800000	1
712200000	2
601400000	4
35200000	25
195600000	3
88300000	31
4400000	22
71000000	1
563300000	7
929900000	14
190900000	11
177600000	9
197400000	1
82200000	37
383800000	1
819900000	10
941700000	7
897300000	13
1800000	10
241100000	2
932400000	36
147700000	1
835900000	1
27300000	1
331500000	20
432200000	5
352200000	3
351800000	9
365600000	7
30600000	19
960800000	13
281900000	1
26500000	3
64500000	6
493000000	1
235000000	11
959100000	15
183200000	8
838200000	30
852500000	6
310600000	5
82600000	14
444600000	5
109500000	1
847100000	22
503500000	9
283900000	7
891700000	8
778600000	3
424300000	1
710500000	5
844000000	3
428200000	11
768800000	22
97700000	8
244700000	28
22700000	5
366800000	4
416100000	1
244500000	3
284700000	2
833600000	1
710000000	2
109800000	5
888400000	11
263000000	6
755600000	5
331400000	2
103000000	27
703600000	4
406300000	11
506700000	35
97400000	1
133100000	1
166600000	2
477600000	3
286400000	7
368700000	1
463500000	2
305000000	1
814900000	1
72700000	3
929700000	10
192400000	10
368400000	3
40600000	28
361900000	10
484200000	7
196900000	16
384800000	2
186100000	3
100800000	33
26400000	1
669400000	9
929600000	6
157900000	2
578000000	17
524400000	3
67100000	20
103100000	10
290200000	27
210100000	1
315300000	21
611800000	1
665500000	6
533300000	8
371600000	6
450000000	1
611300000	21
453900000	2
926900000	13
688800000	3
275600000	5
511000000	7
301500000	7
301600000	22
819400000	1
835700000	25
853700000	3
219700000	1
123400000	7
93300000	19
703900000	4
36200000	43
943800000	13
760900000	1
331200000	20
532500000	1
881000000	1
96000000	18
928800000	2
308700000	3
229500000	1
648200000	2
735000000	2
929400000	18
121400000	17
927400000	10
235900000	2
596100000	1
265300000	4
414100000	14
927300000	9
800000	3
651600000	25
665100000	15
184300000	28
191600000	5
12800000	2
238500000	4
434100000	20
818900000	11
744700000	2
594900000	6
162300000	6
930000000	2
758500000	2
907700000	21
59800000	5
710200000	16
481600000	1
417900000	18
362700000	9
352300000	4
536100000	2
545000000	3
574000000	6
220800000	2
900300000	42
897000000	17
506800000	11
82300000	5
646000000	7
133300000	1
889800000	37
489700000	5
796300000	4
318000000	4
479500000	1
836500000	18
425600000	8
598600000	8
360000000	2
119400000	25
748600000	14
691400000	34
88700000	17
140200000	3
121800000	8
507700000	8
21200000	3
38100000	12
533500000	10
955900000	2
170500000	1
942800000	2
418900000	9
462900000	44
683900000	2
7000000	18
407200000	9
809000000	1
880600000	2
626100000	18
266000000	3
316700000	3
728300000	4
855300000	3
282200000	7
214700000	21
438900000	6
741900000	4
282100000	37
767600000	6
179900000	1
892000000	2
419400000	23
791900000	12
579000000	10
852200000	1
782700000	13
418100000	4
395100000	1
450800000	5
35100000	1
106200000	26
798200000	2
99300000	4
892400000	26
665400000	3
263700000	1
835200000	12
941400000	3
822800000	2
88000000	11
594800000	12
508200000	1
529200000	2
781300000	14
755700000	1
701500000	9
482100000	1
241700000	20
467800000	16
666500000	6
82500000	17
317200000	5
187300000	1
581700000	2
423300000	6
728400000	9
650300000	13
320200000	21
56800000	1
861100000	5
59500000	1
586400000	12
44000000	15
269200000	10
362400000	2
885800000	15
849200000	7
379000000	1
449700000	4
610300000	6
134500000	5
713300000	2
550500000	4
625900000	1
277300000	44
121200000	14
195700000	2
166800000	26
98200000	5
655000000	1
855900000	38
586800000	19
955200000	9
131800000	7
751500000	2
901500000	8
441700000	26
367000000	1
753800000	1
417600000	9
528600000	36
7300000	10
142400000	2
462400000	1
415100000	1
326400000	2
288200000	12
330600000	13
167200000	22
888000000	2
723900000	5
234600000	1
727000000	9
606100000	4
684300000	11
512100000	2
252300000	2
795400000	19
308800000	19
402700000	1
4000000	1
82700000	20
580600000	8
50400000	22
99900000	12
627200000	21
575300000	4
961300000	24
902100000	10
368600000	6
532100000	24
122800000	11
417800000	1
671300000	3
23900000	8
918100000	2
175000000	3
273400000	10
753900000	3
767300000	4
266100000	1
282700000	2
656400000	6
956100000	5
330100000	2
942600000	21
532400000	35
651300000	9
191000000	3
411800000	1
312500000	14
638800000	1
301900000	1
873300000	1
697200000	7
775700000	3
286500000	2
41400000	1
611100000	20
393200000	2
897400000	17
159800000	2
595000000	2
886300000	24
938900000	9
97500000	2
724700000	2
680600000	7
183300000	1
167700000	1
417200000	18
346400000	6
166700000	11
896400000	13
626300000	21
175300000	8
441000000	14
671200000	3
603200000	6
453800000	3
807000000	3
194200000	16
37100000	6
741800000	1
321900000	1
506400000	2
671400000	1
38200000	17
415400000	5
27000000	10
910600000	12
284600000	6
236500000	3
333500000	24
184500000	6
366000000	2
438500000	18
420000000	12
181100000	12
166400000	14
59400000	25
898900000	16
384100000	5
34200000	17
680400000	18
211200000	4
214900000	18
852900000	1
364700000	1
697500000	11
907000000	10
690900000	1
699700000	1
331100000	22
26000000	7
834000000	14
667100000	20
491600000	6
511200000	10
836700000	2
416900000	26
931500000	12
798400000	5
257400000	7
943100000	15
819500000	21
518900000	10
851500000	4
170600000	2
195900000	3
912000000	2
363100000	9
498000000	7
16900000	3
961000000	2
400000	14
221500000	2
242400000	2
766400000	2
651400000	2
105900000	6
880700000	4
961200000	26
326700000	9
594700000	13
670800000	12
517100000	3
580200000	11
120500000	7
281600000	24
367100000	5
610900000	3
516300000	6
34600000	7
543800000	3
198800000	19
379200000	9
251600000	1
84100000	4
451400000	2
123600000	2
330900000	6
725000000	21
533600000	18
572200000	9
29000000	19
959500000	19
361700000	3
159100000	2
606900000	3
665300000	9
511100000	19
327900000	13
838000000	10
280500000	7
698000000	2
362300000	21
958900000	17
167400000	14
295900000	9
260600000	4
712000000	5
710900000	11
532200000	3
565600000	1
332300000	12
380400000	1
236400000	3
371700000	1
354800000	8
367900000	2
360200000	1
282300000	1
840800000	8
333700000	7
102600000	3
861500000	2
37000000	9
443500000	7
666600000	5
517900000	1
132200000	35
360600000	5
266600000	6
951400000	20
99700000	30
750700000	1
710100000	27
549000000	4
40400000	3
106100000	32
932100000	6
692700000	2
774800000	14
866800000	6
305900000	3
876200000	1
40700000	1
210700000	4
711000000	30
723700000	11
133900000	2
900500000	37
816800000	5
197200000	1
852300000	2
702800000	1
28900000	16
467300000	1
118600000	8
192900000	6
81700000	2
581100000	5
396500000	4
270000000	1
889600000	25
635300000	18
193800000	15
406000000	1
153400000	17
25700000	1
50800000	5
193900000	12
834200000	2
942500000	16
821300000	4
900200000	2
236900000	1
96100000	22
444700000	3
958400000	3
235100000	1
529100000	5
780400000	9
140700000	25
651800000	15
418300000	15
672000000	31
209400000	1
627000000	5
200000000	4
866400000	2
597100000	17
777000000	11
888500000	3
24500000	1
595400000	2
168400000	29
370500000	6
857800000	1
797000000	4
244400000	15
960900000	20
105700000	1
620700000	1
858300000	1
688400000	11
170200000	1
581300000	2
688900000	27
943200000	30
297100000	17
595900000	1
