geneId	geneName	start	end	strand	chr
ENSMUSG00000064372	mt-Tp	15356	15422	-1	MT
ENSMUSG00000064371	mt-Tt	15289	15355	1	MT
ENSMUSG00000064370	mt-Cytb	14145	15288	1	MT
ENSMUSG00000064369	mt-Te	14071	14139	-1	MT
ENSMUSG00000064368	mt-Nd6	13552	14070	-1	MT
ENSMUSG00000064367	mt-Nd5	11742	13565	1	MT
ENSMUSG00000064366	mt-Tl2	11671	11741	1	MT
ENSMUSG00000064365	mt-Ts2	11613	11671	1	MT
ENSMUSG00000064364	mt-Th	11546	11612	1	MT
ENSMUSG00000064363	mt-Nd4	10167	11544	1	MT
ENSMUSG00000065947	mt-Nd4l	9877	10173	1	MT
ENSMUSG00000064361	mt-Tr	9808	9875	1	MT
ENSMUSG00000064360	mt-Nd3	9459	9806	1	MT
ENSMUSG00000064359	mt-Tg	9391	9458	1	MT
ENSMUSG00000064358	mt-Co3	8607	9390	1	MT
ENSMUSG00000064357	mt-Atp6	7927	8607	1	MT
ENSMUSG00000064356	mt-Atp8	7766	7969	1	MT
ENSMUSG00000064355	mt-Tk	7700	7764	1	MT
ENSMUSG00000064354	mt-Co2	7013	7696	1	MT
ENSMUSG00000064353	mt-Td	6942	7011	1	MT
ENSMUSG00000064352	mt-Ts1	6870	6938	-1	MT
ENSMUSG00000064351	mt-Co1	5328	6872	1	MT
ENSMUSG00000064350	mt-Ty	5260	5326	-1	MT
ENSMUSG00000064349	mt-Tc	5192	5257	-1	MT
ENSMUSG00000064348	mt-Tn	5089	5159	-1	MT
ENSMUSG00000064347	mt-Ta	5018	5086	-1	MT
ENSMUSG00000064346	mt-Tw	4950	5016	1	MT
ENSMUSG00000064345	mt-Nd2	3914	4951	1	MT
ENSMUSG00000064344	mt-Tm	3845	3913	1	MT
ENSMUSG00000064343	mt-Tq	3772	3842	-1	MT
ENSMUSG00000064342	mt-Ti	3706	3774	1	MT
ENSMUSG00000064341	mt-Nd1	2751	3707	1	MT
ENSMUSG00000064340	mt-Tl1	2676	2750	1	MT
ENSMUSG00000064339	mt-Rnr2	1094	2675	1	MT
ENSMUSG00000064338	mt-Tv	1025	1093	1	MT
ENSMUSG00000064337	mt-Rnr1	70	1024	1	MT
ENSMUSG00000064336	mt-Tf	1	68	1	MT
ENSMUSG00000024644	Cndp2	84667470	84685633	-1	18
ENSMUSG00000054237	Fra10ac1	38188481	38224138	-1	19
ENSMUSG00000084622	Gm25545	75442620	75442942	1	10
ENSMUSG00000051439	Cd14	36725074	36726736	-1	18
ENSMUSG00000079286	Gm11084	72971548	72986716	-1	2
ENSMUSG00000065726	Gm26163	30052379	30052556	-1	15
ENSMUSG00000095094	Gm23659	65432137	65432246	1	16
ENSMUSG00000054648	Zfp869	69706332	69710724	-1	8
ENSMUSG00000048832	Vps37c	10688815	10714419	1	19
ENSMUSG00000024594	Prrc1	57354733	57392719	1	18
ENSMUSG00000088464	Mir1970	135786114	135786217	-1	X
ENSMUSG00000064540	Snord42a	78181299	78181363	-1	11
ENSMUSG00000089450	Gm24225	66981088	66981185	-1	9
ENSMUSG00000073807	Gm10581	88771550	88771784	-1	4
ENSMUSG00000077481	Gm25272	123933718	123933845	1	14
ENSMUSG00000065031	Gm22364	36409610	36409707	-1	X
ENSMUSG00000077188	Gm25090	159139361	159139492	1	2
ENSMUSG00000042401	Crtac1	42283037	42431783	-1	19
ENSMUSG00000035521	Gnptg	25233331	25240124	-1	17
ENSMUSG00000088008	Gm25492	135053988	135054116	-1	5
ENSMUSG00000064497	Gm22062	165717409	165717515	-1	X
ENSMUSG00000092813	Mir3086	58911673	58911759	-1	19
ENSMUSG00000065514	Mir106b	138165737	138165818	-1	5
ENSMUSG00000077619	Gm25495	90356387	90356517	1	14
ENSMUSG00000092956	Gm26220	29396617	29396705	1	6
ENSMUSG00000092714	Gm22854	18460210	18460293	-1	9
ENSMUSG00000024645	Timm21	84947294	84951524	-1	18
ENSMUSG00000093352	Gm23291	99982775	99982852	-1	12
ENSMUSG00000098529	Gm27362	31122725	31122862	-1	1
ENSMUSG00000092842	Gm24333	65093831	65093914	-1	8
ENSMUSG00000107108	Gm9936	114855758	114858682	-1	5
ENSMUSG00000045052	Prlhr	60466733	60468304	-1	19
ENSMUSG00000098925	Rnu3b2	87471368	87471582	1	11
ENSMUSG00000077931	Mir877	35960730	35960814	-1	17
ENSMUSG00000074925	Ptar1	23687400	23721129	1	19
ENSMUSG00000068466	Gm5518	29160118	29160765	1	19
ENSMUSG00000093189	Gm25694	5036175	5036456	-1	10
ENSMUSG00000096915	Btbd35f6	33955044	33956540	-1	X
ENSMUSG00000065036	Gm22362	131380273	131380406	-1	6
ENSMUSG00000092758	Gm25026	145878286	145878473	1	2
ENSMUSG00000074026	Gm6091	126476248	126476412	-1	8
ENSMUSG00000065094	Snord1a	116674598	116674671	1	11
ENSMUSG00000095112	Gm23712	72418713	72418819	-1	5
ENSMUSG00000078197	Gm17374	140152043	140153532	1	2
ENSMUSG00000070167	Snora57	8888538	8888685	-1	19
ENSMUSG00000070717	Gm10300	132074697	132076992	1	4
ENSMUSG00000065130	Gm24457	142772972	142773076	-1	3
ENSMUSG00000054745	Gm9955	24709040	24709348	-1	18
ENSMUSG00000087841	Gm25623	34086126	34086233	1	4
ENSMUSG00000095269	Mir466b-8	10476628	10476713	1	2
ENSMUSG00000064052	Gm5089	122434854	122451115	-1	14
ENSMUSG00000116275	Zc3h11a	133619871	133661380	-1	1
ENSMUSG00000104570	Gm44463	74701006	74701142	-1	2
ENSMUSG00000084549	DQ267100	109649617	109649688	1	12
ENSMUSG00000044424	Gm9493	23619742	23620320	1	19
